"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","4,202.00","4,730.00","4,750.00","4,108.00","51.01K","-11.16%"
"09/01/2025","4,730.00","5,331.00","5,352.00","4,686.00","72.46K","-11.14%"
"08/01/2025","5,323.00","5,700.00","6,015.00","5,280.00","48.38K","-5.92%"
"07/01/2025","5,658.00","6,137.00","6,137.00","4,701.00","56.15K","-7.93%"
"06/01/2025","6,145.00","6,506.00","6,964.00","5,660.00","45.94K","-6.05%"
"05/01/2025","6,541.00","6,430.00","7,862.00","6,160.00","64.93K","1.03%"
"04/01/2025","6,474.00","6,221.00","6,826.00","5,574.00","56.13K","4.45%"
"03/01/2025","6,198.00","7,181.00","7,181.00","5,969.00","51.66K","-13.86%"
"02/01/2025","7,195.00","8,613.00","8,850.00","6,572.00","47.38K","-16.44%"
"01/01/2025","8,611.00","9,133.00","9,427.00","8,280.00","111.74K","-5.82%"
"12/01/2024","9,143.00","7,950.00","10,100.00","7,340.00","76.23K","15.25%"
"11/01/2024","7,933.00","5,861.00","8,000.00","5,471.00","43.94K","35.70%"
"10/01/2024","5,846.00","5,292.00","6,058.00","4,862.00","103.24K","11.54%"
"09/01/2024","5,241.00","5,526.00","5,730.00","4,842.00","59.44K","-6.18%"
"08/01/2024","5,586.00","6,421.00","6,820.00","5,530.00","50.19K","-13.09%"
"07/01/2024","6,427.00","7,352.00","8,240.00","6,290.00","45.78K","-14.59%"
"06/01/2024","7,525.00","7,441.00","9,150.00","6,818.00","47.34K","1.09%"
"05/01/2024","7,444.00","8,314.00","8,730.00","5,659.00","51.29K","-12.63%"
"04/01/2024","8,520.00","8,665.00","10,265.00","7,249.00","65.58K","2.95%"
"03/01/2024","8,276.00","5,601.00","8,682.00","5,500.00","111.30K","48.69%"
"02/01/2024","5,566.00","3,885.00","5,946.00","3,885.00","147.06K","43.34%"
"01/01/2024","3,883.00","3,505.00","3,910.00","3,331.00","251.18K","10.75%"
"12/01/2023","3,506.00","3,580.00","3,596.00","3,381.00","72.70K","-2.07%"
"11/01/2023","3,580.00","3,395.00","3,634.00","3,329.00","96.92K","5.89%"
"10/01/2023","3,381.00","2,949.00","3,425.00","2,921.00","147.46K","14.65%"
"09/01/2023","2,949.00","2,949.00","3,131.00","2,878.00","93.36K","0.17%"
"08/01/2023","2,944.00","2,707.00","2,988.00","2,582.00","96.36K","9.12%"
"07/01/2023","2,698.00","2,722.00","2,873.00","2,447.00","82.13K","-0.88%"
"06/01/2023","2,722.00","2,349.00","2,725.00","2,316.00","112.46K","16.03%"
"05/01/2023","2,346.00","2,200.00","2,485.00","2,166.00","94.97K","6.39%"
"04/01/2023","2,205.00","2,162.00","2,290.00","2,107.00","107.06K","2.13%"
"03/01/2023","2,159.00","2,105.00","2,165.00","2,002.00","127.55K","2.71%"
"02/01/2023","2,102.00","2,030.00","2,136.00","1,976.00","116.72K","3.80%"
"01/01/2023","2,025.00","2,063.00","2,083.00","1,947.00","167.69K","-1.79%"
"12/01/2022","2,062.00","2,139.00","2,174.00","1,940.00","83.45K","-3.60%"
"11/01/2022","2,139.00","1,918.00","2,140.00","1,909.00","116.14K","11.46%"
"10/01/2022","1,919.00","1,941.00","2,023.00","1,880.00","174.81K","-1.08%"
"09/01/2022","1,940.00","1,807.00","1,972.00","1,725.00","114.48K","7.78%"
"08/01/2022","1,800.00","1,700.00","1,810.00","1,688.00","98.95K","5.63%"
"07/01/2022","1,704.00","1,698.00","1,770.00","1,675.00","86.07K","0.47%"
"06/01/2022","1,696.00","1,757.00","1,776.00","1,688.00","85.51K","-2.75%"
"05/01/2022","1,744.00","1,765.00","1,804.00","1,612.00","77.37K","-0.40%"
"04/01/2022","1,751.00","1,764.00","1,825.00","1,711.00","60.15K","-1.02%"
"03/01/2022","1,769.00","1,663.00","1,803.00","1,623.00","79.76K","7.73%"
"02/01/2022","1,642.00","1,706.00","1,809.00","1,636.00","79.03K","-3.58%"
"01/01/2022","1,703.00","1,696.00","1,790.00","1,650.00","141.01K","0.12%"
"12/01/2021","1,701.00","1,605.00","1,729.00","1,498.00","54.71K","6.45%"
"11/01/2021","1,598.00","1,686.00","1,719.00","1,590.00","74.35K","-5.67%"
"10/01/2021","1,694.00","1,875.00","1,919.00","1,689.00","133.49K","-9.61%"
"09/01/2021","1,874.00","1,723.00","1,878.00","1,716.00","85.28K","9.02%"
"08/01/2021","1,719.00","1,630.00","1,760.00","1,599.00","90.55K","6.31%"
"07/01/2021","1,617.00","1,603.00","1,665.00","1,521.00","89.57K","0.62%"
"06/01/2021","1,607.00","1,617.00","1,637.00","1,581.00","60.97K","-0.62%"
"05/01/2021","1,617.00","1,578.00","1,724.00","1,541.00","70.71K","2.60%"
"04/01/2021","1,576.00","1,703.00","1,721.00","1,575.00","87.03K","-6.91%"
"03/01/2021","1,693.00","1,913.00","1,979.00","1,684.00","89.93K","-11.45%"
"02/01/2021","1,912.00","1,719.00","1,917.00","1,709.00","89.08K","10.65%"
"01/01/2021","1,728.00","1,745.00","1,783.00","1,661.00","111.32K","-0.52%"
"12/01/2020","1,737.00","1,840.00","1,840.00","1,614.00","68.10K","-5.55%"
"11/01/2020","1,839.00","1,605.00","1,946.00","1,566.00","70.33K","14.58%"
"10/01/2020","1,605.00","1,796.00","1,804.00","1,597.00","113.25K","-10.63%"
"09/01/2020","1,796.00","1,730.00","1,936.00","1,722.00","88.36K","3.88%"
"08/01/2020","1,729.00","1,630.00","1,750.00","1,602.00","84.98K","6.66%"
"07/01/2020","1,621.00","1,617.00","1,638.00","1,448.00","62.52K","-0.12%"
"06/01/2020","1,623.00","1,947.00","1,970.00","1,618.00","102.28K","-17.19%"
"05/01/2020","1,960.00","2,008.00","2,039.00","1,912.00","65.39K","-3.21%"
"04/01/2020","2,025.00","1,752.00","2,034.00","1,738.00","69.89K","15.45%"
"03/01/2020","1,754.00","1,934.00","1,944.00","1,732.00","91.40K","-8.93%"
"02/01/2020","1,926.00","1,952.00","2,044.00","1,911.00","96.75K","-1.48%"
"01/01/2020","1,955.00","1,816.00","2,037.00","1,780.00","190.48K","7.48%"
"12/01/2019","1,819.00","1,997.00","2,027.00","1,743.00","122.83K","-9.00%"
"11/01/2019","1,999.00","1,860.00","2,071.00","1,852.00","98.61K","7.42%"
"10/01/2019","1,861.00","1,921.00","1,992.00","1,854.00","192.89K","-2.92%"
"09/01/2019","1,917.00","1,641.00","1,954.00","1,608.00","132.13K","16.89%"
"08/01/2019","1,640.00","1,825.00","1,854.00","1,616.00","108.86K","-10.14%"
"07/01/2019","1,825.00","1,789.00","1,875.00","1,669.00","80.25K","3.05%"
"06/01/2019","1,771.00","1,792.00","1,862.00","1,732.00","123.67K","-0.78%"
"05/01/2019","1,785.00","1,935.00","1,955.00","1,681.00","102.48K","-7.80%"
"04/01/2019","1,936.00","1,730.00","1,939.00","1,726.00","143.04K","12.04%"
"03/01/2019","1,728.00","1,715.00","1,743.00","1,609.00","126.42K","1.11%"
"02/01/2019","1,709.00","1,575.00","1,785.00","1,572.00","128.05K","8.78%"
"01/01/2019","1,571.00","1,769.00","1,773.00","1,567.00","191.31K","-11.04%"
"12/01/2018","1,766.00","1,580.00","1,769.00","1,471.00","121.99K","12.41%"
"11/01/2018","1,571.00","1,682.00","1,703.00","1,516.00","102.92K","-7.32%"
"10/01/2018","1,695.00","1,503.00","1,718.00","1,455.00","181.80K","13.30%"
"09/01/2018","1,496.00","1,628.00","1,640.00","1,494.00","106.05K","-8.50%"
"08/01/2018","1,635.00","1,592.00","1,670.00","1,514.00","105.81K","2.12%"
"07/01/2018","1,601.00","1,890.00","1,920.00","1,595.00","110.16K","-15.65%"
"06/01/2018","1,898.00","1,770.00","1,905.00","1,609.00","130.35K","7.05%"
"05/01/2018","1,773.00","1,844.00","1,933.00","1,767.00","104.85K","-4.47%"
"04/01/2018","1,856.00","1,778.00","1,856.00","1,671.00","125.91K","5.88%"
"03/01/2018","1,753.00","1,577.00","1,836.00","1,571.00","162.40K","11.37%"
"02/01/2018","1,574.00","1,391.00","1,576.00","1,387.00","186.95K","12.51%"
"01/01/2018","1,399.00","1,375.00","1,427.00","1,322.00","211.85K","1.52%"
"12/01/2017","1,378.00","1,444.00","1,449.00","1,301.00","128.09K","-4.57%"
"11/01/2017","1,444.00","1,556.00","1,654.00","1,429.00","205.46K","-7.02%"
"10/01/2017","1,553.00","1,520.00","1,615.00","1,496.00","237.28K","2.44%"
"09/01/2017","1,516.00","1,497.00","1,529.00","1,414.00","119.91K","0.86%"
"08/01/2017","1,503.00","1,590.00","1,614.00","1,438.00","143.07K","-5.47%"
"07/01/2017","1,590.00","1,540.00","1,606.00","1,417.00","121.09K","3.72%"
"06/01/2017","1,533.00","1,575.00","1,672.00","1,465.00","187.11K","-3.16%"
"05/01/2017","1,583.00","1,391.00","1,615.00","1,351.00","143.63K","12.83%"
"04/01/2017","1,403.00","1,676.00","1,703.00","1,336.00","136.53K","-16.44%"
"03/01/2017","1,679.00","1,531.00","1,759.00","1,519.00","140.04K","9.81%"
"02/01/2017","1,529.00","1,680.00","1,708.00","1,524.00","131.87K","-9.31%"
"01/01/2017","1,686.00","1,736.00","1,848.00","1,683.00","183.57K","-2.66%"
"12/01/2016","1,732.00","1,964.00","1,968.00","1,668.00","119.65K","-11.81%"
"11/01/2016","1,964.00","2,260.00","2,260.00","1,946.00","108.92K","-13.17%"
"10/01/2016","2,262.00","2,239.00","2,328.00","2,202.00","170.23K","1.75%"
"09/01/2016","2,223.00","2,355.00","2,360.00","2,168.00","152.45K","-5.77%"
"08/01/2016","2,359.00","2,301.00","2,514.00","2,289.00","170.28K","2.70%"
"07/01/2016","2,297.00","2,386.00","2,578.00","2,291.00","149.35K","-3.69%"
"06/01/2016","2,385.00","2,239.00","2,412.00","2,211.00","125.72K","6.57%"
"05/01/2016","2,238.00","2,310.00","2,310.00","2,118.00","174.42K","-3.24%"
"04/01/2016","2,313.00","2,152.00","2,314.00","2,092.00","127.98K","7.28%"
"03/01/2016","2,156.00","2,206.00","2,275.00","2,119.00","122.80K","-2.66%"
"02/01/2016","2,215.00","2,005.00","2,222.00","1,961.00","137.66K","10.25%"
"01/01/2016","2,009.00","2,257.00","2,258.00","1,972.00","236.75K","-11.18%"
"12/01/2015","2,262.00","2,257.00","2,305.00","2,215.00","98.03K","0.04%"
"11/01/2015","2,261.00","2,208.00","2,328.00","2,180.00","120.03K","2.40%"
"10/01/2015","2,208.00","2,140.00","2,216.00","2,066.00","172.47K","3.18%"
"09/01/2015","2,140.00","2,081.00","2,256.00","2,080.00","139.67K","2.59%"
"08/01/2015","2,086.00","2,129.00","2,133.00","1,975.00","113.51K","-2.11%"
"07/01/2015","2,131.00","2,130.00","2,233.00","2,117.00","132.20K","-0.37%"
"06/01/2015","2,139.00","2,107.00","2,177.00","2,080.00","108.16K","1.52%"
"05/01/2015","2,107.00","1,988.00","2,131.00","1,962.00","108.12K","5.77%"
"04/01/2015","1,992.00","1,898.00","1,995.00","1,891.00","80.51K","4.79%"
"03/01/2015","1,901.00","2,033.00","2,054.00","1,893.00","137.29K","-6.58%"
"02/01/2015","2,035.00","1,903.00","2,055.00","1,891.00","146.34K","6.82%"
"01/01/2015","1,905.00","1,958.00","2,062.00","1,893.00","158.34K","-3.79%"
