"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","4,602.00","4,205.00","4,603.00","4,141.00","49.48K","9.94%"
"09/01/2025","4,186.00","4,800.00","4,860.00","4,026.00","145.98K","-13.06%"
"08/01/2025","4,815.00","3,331.00","4,986.00","3,234.00","226.17K","44.55%"
"07/01/2025","3,331.00","3,610.00","3,701.00","3,166.00","172.52K","-7.98%"
"06/01/2025","3,620.00","4,423.00","4,597.00","3,459.00","213.69K","-18.89%"
"05/01/2025","4,463.00","5,344.00","5,382.00","4,390.00","141.53K","-16.05%"
"04/01/2025","5,316.00","5,280.00","5,468.00","4,558.00","79.07K","1.01%"
"03/01/2025","5,263.00","5,300.00","5,693.00","5,243.00","82.03K","-1.26%"
"02/01/2025","5,330.00","5,685.00","5,849.00","5,274.00","176.47K","-6.39%"
"01/01/2025","5,694.00","4,900.00","5,840.00","4,842.00","153.20K","18.50%"
"12/01/2024","4,805.00","5,235.00","5,441.00","4,451.00","55.76K","-9.51%"
"11/01/2024","5,310.00","4,315.00","5,614.00","4,181.00","83.80K","21.54%"
"10/01/2024","4,369.00","5,232.00","5,236.00","4,296.00","192.35K","-16.38%"
"09/01/2024","5,225.00","4,916.00","5,486.00","4,664.00","145.30K","5.60%"
"08/01/2024","4,948.00","4,102.00","5,180.00","3,931.00","208.85K","20.21%"
"07/01/2024","4,116.00","4,021.00","4,681.00","3,946.00","155.84K","2.62%"
"06/01/2024","4,011.00","3,987.00","4,394.00","3,965.00","187.02K","0.60%"
"05/01/2024","3,987.00","4,008.00","4,221.00","3,261.00","218.81K","-0.85%"
"04/01/2024","4,021.00","3,407.00","4,338.00","3,406.00","275.34K","18.40%"
"03/01/2024","3,396.00","3,099.00","3,489.00","3,092.00","167.43K","9.73%"
"02/01/2024","3,095.00","3,165.00","3,241.00","2,981.00","235.18K","-2.30%"
"01/01/2024","3,168.00","2,845.00","3,262.00","2,744.00","223.01K","11.51%"
"12/01/2023","2,841.00","2,543.00","2,970.00","2,465.00","252.39K","11.59%"
"11/01/2023","2,546.00","2,370.00","2,594.00","2,296.00","211.49K","7.61%"
"10/01/2023","2,366.00","2,361.00","2,568.00","2,223.00","304.46K","-0.13%"
"09/01/2023","2,369.00","2,489.00","2,610.00","2,335.00","168.51K","-4.82%"
"08/01/2023","2,489.00","2,480.00","2,576.00","2,351.00","249.42K","0.53%"
"07/01/2023","2,476.00","2,500.00","2,659.00","2,422.00","153.11K","-0.60%"
"06/01/2023","2,491.00","2,525.00","2,797.00","2,478.00","266.95K","-1.15%"
"05/01/2023","2,520.00","2,406.00","2,675.00","2,385.00","150.04K","4.61%"
"04/01/2023","2,409.00","2,175.00","2,489.00","2,175.00","183.72K","10.86%"
"03/01/2023","2,173.00","2,135.00","2,238.00","2,023.00","195.00K","1.54%"
"02/01/2023","2,140.00","2,075.00","2,208.00","2,017.00","188.00K","2.98%"
"01/01/2023","2,078.00","1,809.00","2,082.00","1,787.00","187.11K","15.51%"
"12/01/2022","1,799.00","1,849.00","1,890.00","1,785.00","177.91K","-2.70%"
"11/01/2022","1,849.00","1,863.00","1,900.00","1,769.00","165.77K","-0.22%"
"10/01/2022","1,853.00","2,145.00","2,179.00","1,833.00","215.60K","-13.65%"
"09/01/2022","2,146.00","2,245.00","2,298.00","2,143.00","118.08K","-4.62%"
"08/01/2022","2,250.00","2,030.00","2,355.00","2,006.00","192.39K","10.95%"
"07/01/2022","2,028.00","2,035.00","2,042.00","1,914.00","134.62K","-0.25%"
"06/01/2022","2,033.00","2,101.00","2,155.00","2,010.00","178.18K","-3.65%"
"05/01/2022","2,110.00","2,089.00","2,159.00","2,004.00","128.45K","0.14%"
"04/01/2022","2,107.00","2,154.00","2,168.00","2,012.00","155.06K","-2.09%"
"03/01/2022","2,152.00","2,094.00","2,185.00","2,010.00","137.33K","2.97%"
"02/01/2022","2,090.00","2,172.00","2,286.00","2,081.00","165.21K","-3.78%"
"01/01/2022","2,172.00","2,357.00","2,369.00","2,159.00","133.64K","-8.35%"
"12/01/2021","2,370.00","2,210.00","2,384.00","2,203.00","149.26K","7.73%"
"11/01/2021","2,200.00","2,210.00","2,327.00","2,159.00","115.59K","-0.63%"
"10/01/2021","2,214.00","2,115.00","2,278.00","2,075.00","156.92K","4.48%"
"09/01/2021","2,119.00","2,027.00","2,180.00","2,024.00","104.81K","4.59%"
"08/01/2021","2,026.00","1,810.00","2,070.00","1,741.00","178.51K","12.49%"
"07/01/2021","1,801.00","1,725.00","1,993.00","1,671.00","178.52K","5.63%"
"06/01/2021","1,705.00","1,597.00","1,720.00","1,581.00","220.70K","6.23%"
"05/01/2021","1,605.00","1,450.00","1,623.00","1,448.00","145.41K","10.23%"
"04/01/2021","1,456.00","1,377.00","1,480.00","1,341.00","193.58K","6.59%"
"03/01/2021","1,366.00","1,470.00","1,477.00","1,330.00","160.08K","-7.26%"
"02/01/2021","1,473.00","1,313.00","1,484.00","1,312.00","219.04K","11.68%"
"01/01/2021","1,319.00","1,388.00","1,393.00","1,296.00","141.30K","-4.83%"
"12/01/2020","1,386.00","1,406.00","1,412.00","1,317.00","147.91K","-1.35%"
"11/01/2020","1,405.00","1,344.00","1,448.00","1,307.00","140.15K","4.00%"
"10/01/2020","1,351.00","1,335.00","1,362.00","1,241.00","192.10K","1.50%"
"09/01/2020","1,331.00","1,449.00","1,471.00","1,305.00","149.80K","-6.86%"
"08/01/2020","1,429.00","1,361.00","1,448.00","1,319.00","188.42K","5.00%"
"07/01/2020","1,361.00","1,191.00","1,395.00","1,157.00","208.12K","14.66%"
"06/01/2020","1,187.00","1,190.00","1,270.00","1,144.00","207.33K","-0.17%"
"05/01/2020","1,189.00","1,187.00","1,251.00","1,144.00","121.84K","-0.42%"
"04/01/2020","1,194.00","1,210.00","1,237.00","1,109.00","169.93K","-2.29%"
"03/01/2020","1,222.00","1,289.00","1,332.00","1,115.00","207.12K","-4.75%"
"02/01/2020","1,283.00","1,332.00","1,332.00","1,269.00","198.03K","-4.40%"
"01/01/2020","1,342.00","1,382.00","1,389.00","1,303.00","159.67K","-2.89%"
"12/01/2019","1,382.00","1,403.00","1,479.00","1,332.00","230.62K","-1.71%"
"11/01/2019","1,406.00","1,325.00","1,447.00","1,294.00","239.07K","6.35%"
"10/01/2019","1,322.00","1,338.00","1,340.00","1,211.00","241.85K","-1.34%"
"09/01/2019","1,340.00","1,334.00","1,345.00","1,262.00","125.24K","0.45%"
"08/01/2019","1,334.00","1,353.00","1,368.00","1,287.00","201.86K","-2.41%"
"07/01/2019","1,367.00","1,463.00","1,493.00","1,348.00","147.09K","-5.79%"
