"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","5,975.00","6,731.00","6,821.00","5,893.00","85.05K","-11.47%"
"09/01/2025","6,749.00","7,420.00","7,644.00","6,682.00","97.05K","-11.60%"
"08/01/2025","7,635.00","8,540.00","9,326.00","7,337.00","94.93K","-10.24%"
"07/01/2025","8,506.00","9,165.00","9,165.00","7,208.00","105.40K","-9.09%"
"06/01/2025","9,356.00","9,625.00","10,531.00","8,295.00","92.53K","1.48%"
"05/01/2025","9,220.00","8,849.00","10,677.00","8,445.00","160.03K","1.02%"
"04/01/2025","9,127.00","7,998.00","9,652.00","7,656.00","110.78K","15.71%"
"03/01/2025","7,888.00","8,946.00","8,954.00","7,701.00","145.89K","-12.49%"
"02/01/2025","9,014.00","11,020.00","11,324.00","8,390.00","74.68K","-16.96%"
"01/01/2025","10,855.00","10,950.00","11,574.00","9,861.00","138.59K","-7.02%"
"12/01/2024","11,675.00","9,197.00","12,931.00","8,833.00","129.18K","23.87%"
"11/01/2024","9,425.00","6,890.00","9,520.00","6,606.00","253.92K","28.43%"
"10/01/2024","7,338.50","7,723.00","8,169.50","6,435.50","","-4.98%"
"09/03/2024","7,723.00","7,617.00","7,849.00","6,819.00","","-0.16%"
"09/01/2024","7,735.00","7,559.00","10,116.00","6,831.00","97.37K","0.83%"
"08/01/2024","7,671.00","8,023.00","9,030.00","6,594.00","","0.00%"
"08/01/2024","7,671.00","6,927.00","8,242.00","6,349.00","261.22K","-5.20%"
"07/01/2024","8,092.00","7,444.00","8,674.00","6,961.00","","15.75%"
"07/01/2024","6,991.00","6,360.00","7,562.00","6,000.00","120.92K","-9.57%"
"06/03/2024","7,731.00","9,331.00","10,308.00","7,054.00","","17.30%"
"06/01/2024","6,591.00","7,713.00","9,004.00","6,058.00","110.80K","-29.36%"
"05/01/2024","9,331.00","9,283.00","9,550.00","6,767.00","","8.68%"
"05/01/2024","8,586.00","9,283.00","9,487.00","6,418.00","223.57K","-7.51%"
"04/01/2024","9,283.00","9,720.00","11,722.00","7,756.00","","0.00%"
"04/01/2024","9,283.00","9,303.00","11,722.00","7,756.00","338.23K","-4.95%"
"03/01/2024","9,766.00","6,120.00","10,080.00","6,093.00","","0.00%"
"03/01/2024","9,766.00","6,120.00","10,075.50","6,093.00","17.95K","61.45%"
"02/01/2024","6,049.00","4,832.00","6,648.00","4,828.00","","-7.08%"
"02/01/2024","6,510.00","4,832.00","6,929.00","4,828.00","328.13K","35.01%"
"01/02/2024","4,822.00","4,209.00","4,869.00","4,034.00","","0.00%"
"01/01/2024","4,822.00","4,209.00","4,869.00","4,034.00","650.45K","14.92%"
"12/01/2023","4,196.00","4,265.00","4,343.00","4,098.00","","0.00%"
"12/01/2023","4,196.00","4,428.00","4,478.00","4,193.00","185.68K","-1.89%"
"11/01/2023","4,277.00","3,806.00","4,294.00","3,781.00","","-4.42%"
"11/01/2023","4,475.00","3,806.00","4,463.00","3,781.00","297.91K","17.24%"
