"Date","Price","Open","High","Low","Vol.","Change %"
"10/01/2025","379.88","372.35","392.38","366.60","83.47K","1.34%"
"09/01/2025","374.85","380.00","431.30","349.45","138.16K","-5.54%"
"08/01/2025","396.85","294.10","400.80","283.65","186.60K","34.16%"
"07/01/2025","295.80","306.60","312.55","285.70","95.30K","-3.57%"
"06/01/2025","306.75","340.40","376.40","300.50","189.18K","-9.73%"
"05/01/2025","339.80","399.05","399.30","338.75","224.98K","-17.84%"
"04/01/2025","413.60","379.25","427.80","325.20","243.38K","10.18%"
"03/01/2025","375.40","375.70","418.55","371.20","291.94K","-0.96%"
"02/01/2025","379.05","375.85","440.85","373.40","248.10K","2.07%"
"01/01/2025","371.35","316.45","375.30","312.05","220.78K","16.14%"
"12/01/2024","319.75","318.10","347.35","293.75","104.69K","0.53%"
"11/01/2024","318.05","245.55","335.45","240.80","547.35K","29.34%"
"10/01/2024","245.90","269.80","271.45","243.35","384.55K","-9.01%"
"09/01/2024","270.25","246.65","275.05","240.00","142.26K","8.88%"
"08/01/2024","248.20","229.18","259.45","221.08","0.02K","8.29%"
"07/01/2024","229.20","226.25","249.50","224.35","152.99K","0.11%"
"06/01/2024","228.95","221.15","239.80","215.00","294.16K","3.48%"
"05/01/2024","221.25","214.65","236.60","192.15","429.52K","2.12%"
"04/01/2024","216.65","187.50","245.40","186.75","700.75K","14.72%"
"03/01/2024","188.85","184.85","194.78","179.38","21.24K","-3.57%"
"02/01/2024","195.85","193.40","198.95","186.00","268.48K","0.93%"
"01/01/2024","194.05","188.65","197.45","175.55","420.63K","3.05%"
"12/01/2023","188.30","189.55","203.90","185.65","139.90K","-3.44%"
"11/01/2023","195.00","166.00","195.70","158.75","260.01K","16.56%"
"10/01/2023","167.30","146.00","169.05","143.70","503.88K","14.47%"
"09/01/2023","146.15","151.50","173.50","144.95","157.14K","-4.29%"
"08/01/2023","152.70","165.10","168.30","145.05","279.46K","-7.26%"
"07/01/2023","164.65","165.20","166.00","152.30","144.61K","2.27%"
"06/01/2023","161.00","179.65","196.60","162.10","258.94K","-9.88%"
