Dagsetning;Evra EUR miðgengi (Meðaltal mánaðar);Evra EUR kaupgengi (Meðaltal mánaðar);Evra EUR sölugengi (Meðaltal mánaðar);Bandaríkjadalur USD miðgengi (Meðaltal mánaðar);Bandaríkjadalur USD kaupgengi (Meðaltal mánaðar);Bandaríkjadalur USD sölugengi (Meðaltal mánaðar);Sterlingspund GBP miðgengi (Meðaltal mánaðar);Sterlingspund GBP kaupgengi (Meðaltal mánaðar);Sterlingspund GBP sölugengi (Meðaltal mánaðar);Norsk króna NOK miðgengi (Meðaltal mánaðar);Norsk króna NOK kaupgengi (Meðaltal mánaðar);Norsk króna NOK sölugengi (Meðaltal mánaðar);Sænsk króna SEK miðgengi (Meðaltal mánaðar);Sænsk króna SEK kaupgengi (Meðaltal mánaðar);Sænsk króna SEK sölugengi (Meðaltal mánaðar);
Júlí 2025;142,39;-;-;121,95;-;-;164,68;-;-;12,013;-;-;12,716;-;-;
Júní 2025;143,42;-;-;124,52;-;-;168,73;-;-;12,369;-;-;13,022;-;-;
Maí 2025;145,57;-;-;129,08;-;-;172,52;-;-;12,547;-;-;13,377;-;-;
Apríl 2025;144,99;-;-;129,53;-;-;169,90;-;-;12,260;-;-;13,212;-;-;
Mars 2025;145,26;-;-;134,43;-;-;173,55;-;-;12,581;-;-;13,245;-;-;
Febrúar 2025;146,27;-;-;140,48;-;-;176,07;-;-;12,547;-;-;13,005;-;-;
Janúar 2025;145,41;-;-;140,45;-;-;173,30;-;-;12,380;-;-;12,667;-;-;
Desember 2024;145,25;-;-;138,54;-;-;175,40;-;-;12,374;-;-;12,628;-;-;
Nóvember 2024;146,72;-;-;138,03;-;-;175,97;-;-;12,497;-;-;12,667;-;-;
Október 2024;149,08;-;-;136,73;-;-;178,55;-;-;12,645;-;-;13,073;-;-;
September 2024;152,20;-;-;137,05;-;-;181,14;-;-;12,915;-;-;13,400;-;-;
Ágúst 2024;151,90;-;-;137,92;-;-;178,48;-;-;12,902;-;-;13,265;-;-;
Júlí 2024;149,44;-;-;137,81;-;-;177,21;-;-;12,759;-;-;12,960;-;-;
Júní 2024;149,34;-;-;138,78;-;-;176,43;-;-;13,084;-;-;13,234;-;-;
Maí 2024;149,97;-;-;138,69;-;-;175,31;-;-;12,938;-;-;12,913;-;-;
Apríl 2024;150,37;-;-;140,17;-;-;175,55;-;-;12,873;-;-;12,976;-;-;
Mars 2024;148,98;-;-;136,99;-;-;174,20;-;-;12,942;-;-;13,193;-;-;
Febrúar 2024;148,70;-;-;137,76;-;-;173,99;-;-;13,062;-;-;13,218;-;-;
Janúar 2024;149,45;-;-;137,04;-;-;174,03;-;-;13,167;-;-;13,246;-;-;
Desember 2023;150,56;-;-;138,11;-;-;174,74;-;-;13,060;-;-;13,441;-;-;
Nóvember 2023;151,43;-;-;140,12;-;-;173,97;-;-;12,839;-;-;13,117;-;-;
Október 2023;146,51;-;-;138,71;-;-;168,79;-;-;12,601;-;-;12,579;-;-;
September 2023;144,47;-;-;135,24;-;-;167,68;-;-;12,615;-;-;12,202;-;-;
Ágúst 2023;143,82;-;-;131,88;-;-;167,47;-;-;12,591;-;-;12,170;-;-;
Júlí 2023;146,79;-;-;132,76;-;-;170,98;-;-;12,938;-;-;12,618;-;-;
Júní 2023;149,35;-;-;137,80;-;-;173,95;-;-;12,749;-;-;12,792;-;-;
Maí 2023;150,48;-;-;138,35;-;-;172,85;-;-;12,837;-;-;13,250;-;-;
Apríl 2023;149,60;-;-;136,34;-;-;169,71;-;-;12,987;-;-;13,199;-;-;
Mars 2023;149,89;-;-;140,03;-;-;169,96;-;-;13,283;-;-;13,351;-;-;
Febrúar 2023;153,11;-;-;142,91;-;-;172,91;-;-;13,979;-;-;13,706;-;-;
Janúar 2023;154,06;-;-;143,07;-;-;174,65;-;-;14,379;-;-;13,750;-;-;
Desember 2022;150,76;-;-;142,37;-;-;173,39;-;-;14,430;-;-;13,723;-;-;
Nóvember 2022;146,99;-;-;144,13;-;-;169,17;-;-;14,222;-;-;13,511;-;-;
Október 2022;141,49;-;-;144,01;-;-;162,54;-;-;13,617;-;-;12,922;-;-;
September 2022;140,35;-;-;141,74;-;-;160,51;-;-;13,808;-;-;13,017;-;-;
Ágúst 2022;140,18;-;-;138,49;-;-;165,82;-;-;14,263;-;-;13,341;-;-;
Júlí 2022;139,05;-;-;136,62;-;-;163,69;-;-;13,659;-;-;13,151;-;-;
Júní 2022;138,52;-;-;131,17;-;-;161,47;-;-;13,450;-;-;13,063;-;-;
Maí 2022;138,48;-;-;130,99;-;-;162,99;-;-;13,660;-;-;13,200;-;-;
Apríl 2022;139,85;-;-;129,36;-;-;167,08;-;-;14,530;-;-;13,549;-;-;
Mars 2022;143,38;-;-;130,13;-;-;171,44;-;-;14,727;-;-;13,598;-;-;
Febrúar 2022;142,01;-;-;125,21;-;-;169,49;-;-;14,125;-;-;13,482;-;-;
Janúar 2022;146,09;-;-;129,12;-;-;174,94;-;-;14,599;-;-;14,106;-;-;
Desember 2021;147,14;-;-;130,18;-;-;173,32;-;-;14,517;-;-;14,327;-;-;
Nóvember 2021;149,17;-;-;130,69;-;-;175,94;-;-;14,970;-;-;14,853;-;-;
Október 2021;149,66;-;-;129,01;-;-;176,70;-;-;15,250;-;-;14,884;-;-;
September 2021;150,96;-;-;128,26;-;-;176,20;-;-;14,822;-;-;14,843;-;-;
Ágúst 2021;148,53;-;-;126,23;-;-;174,17;-;-;14,258;-;-;14,538;-;-;
Júlí 2021;147,10;-;-;124,43;-;-;171,83;-;-;14,177;-;-;14,425;-;-;
Júní 2021;146,84;-;-;121,85;-;-;170,97;-;-;14,479;-;-;14,520;-;-;
Maí 2021;149,53;-;-;123,13;-;-;173,34;-;-;14,828;-;-;14,740;-;-;
Apríl 2021;150,85;-;-;125,85;-;-;174,24;-;-;15,029;-;-;14,851;-;-;
Mars 2021;151,51;-;-;127,32;-;-;176,43;-;-;14,933;-;-;14,900;-;-;
Febrúar 2021;155,26;-;-;128,35;-;-;177,92;-;-;15,104;-;-;15,389;-;-;
Janúar 2021;156,48;-;-;128,58;-;-;175,32;-;-;15,096;-;-;15,500;-;-;
Desember 2020;155,09;-;-;127,46;-;-;171,08;-;-;14,626;-;-;15,239;-;-;
Nóvember 2020;161,90;-;-;136,81;-;-;180,66;-;-;15,061;-;-;15,826;-;-;
Október 2020;163,66;-;-;139,00;-;-;180,37;-;-;14,985;-;-;15,743;-;-;
September 2020;162,69;-;-;137,97;-;-;178,92;-;-;15,102;-;-;15,603;-;-;
Ágúst 2020;161,75;-;-;136,67;-;-;179,58;-;-;15,299;-;-;15,693;-;-;
Júlí 2020;158,42;-;-;138,26;-;-;175,05;-;-;14,862;-;-;15,300;-;-;
Júní 2020;152,77;-;-;135,64;-;-;169,89;-;-;14,249;-;-;14,573;-;-;
Maí 2020;156,69;-;-;143,88;-;-;176,90;-;-;14,235;-;-;14,773;-;-;
Apríl 2020;156,98;-;-;144,45;-;-;179,27;-;-;13,848;-;-;14,427;-;-;
Mars 2020;148,95;148,54;149,37;134,71;134,39;135,03;166,70;166,30;167,10;13,236;13,198;13,275;13,708;13,668;13,748;
Febrúar 2020;138,24;137,86;138,63;126,72;126,42;127,02;164,29;163,89;164,69;13,635;13,595;13,674;13,077;13,039;13,115;
Janúar 2020;137,07;136,69;137,45;123,50;123,20;123,79;161,37;160,98;161,76;13,794;13,753;13,835;12,986;12,948;13,024;
Desember 2019;135,63;135,26;136,01;122,02;121,73;122,31;160,16;159,77;160,55;13,491;13,452;13,531;12,937;12,899;12,974;
Nóvember 2019;136,63;136,25;137,01;123,60;123,31;123,90;159,28;158,90;159,67;13,505;13,465;13,545;12,824;12,787;12,862;
Október 2019;137,71;137,33;138,10;124,59;124,29;124,89;157,40;157,02;157,78;13,608;13,568;13,648;12,748;12,711;12,786;
September 2019;137,62;137,24;138,01;125,02;124,73;125,32;154,37;154,00;154,75;13,864;13,823;13,904;12,861;12,823;12,898;
Ágúst 2019;137,67;137,29;138,06;123,76;123,47;124,06;150,37;150,00;150,73;13,801;13,760;13,841;12,825;12,787;12,862;
Júlí 2019;139,90;139,51;140,29;124,68;124,38;124,98;155,57;155,19;155,94;14,481;14,439;14,523;13,246;13,207;13,285;
Júní 2019;140,81;140,42;141,20;124,68;124,38;124,98;158,16;157,78;158,55;14,455;14,412;14,497;13,258;13,219;13,297;
Maí 2019;137,62;137,23;138,00;123,04;122,75;123,33;158,04;157,66;158,43;14,073;14,032;14,114;12,812;12,775;12,849;
Apríl 2019;135,29;134,91;135,67;120,31;120,03;120,60;157,03;156,65;157,42;14,053;14,011;14,094;12,916;12,878;12,954;
Mars 2019;135,63;135,25;136,00;119,95;119,67;120,24;158,01;157,62;158,40;13,953;13,912;13,994;12,918;12,880;12,956;
Febrúar 2019;136,15;135,77;136,52;119,93;119,64;120,21;155,96;155,58;156,34;13,970;13,929;14,011;12,974;12,936;13,012;
Janúar 2019;136,67;136,29;137,05;119,68;119,40;119,97;154,22;153,85;154,60;13,996;13,955;14,037;13,310;13,271;13,349;
Desember 2018;138,10;137,72;138,49;121,32;121,03;121,61;153,80;153,42;154,17;14,108;14,067;14,149;13,438;13,398;13,477;
Nóvember 2018;139,70;139,31;140,09;122,98;122,69;123,27;158,53;158,15;158,91;14,503;14,461;14,546;13,568;13,528;13,607;
Október 2018;134,29;133,91;134,66;116,92;116,64;117,20;152,13;151,76;152,50;14,167;14,125;14,209;12,938;12,900;12,976;
September 2018;128,88;128,52;129,24;110,54;110,27;110,80;144,29;143,94;144,64;13,393;13,354;13,432;12,341;12,305;12,378;
