Dagsetning;Vextir á daglánum;Vextir á viðskiptareikningum;Meginvextir
01.01.2021;2,50;0,50;0,75
04.01.2021;2,50;0,50;0,75
05.01.2021;2,50;0,50;0,75
06.01.2021;2,50;0,50;0,75
07.01.2021;2,50;0,50;0,75
08.01.2021;2,50;0,50;0,75
11.01.2021;2,50;0,50;0,75
12.01.2021;2,50;0,50;0,75
13.01.2021;2,50;0,50;0,75
14.01.2021;2,50;0,50;0,75
15.01.2021;2,50;0,50;0,75
18.01.2021;2,50;0,50;0,75
19.01.2021;2,50;0,50;0,75
20.01.2021;2,50;0,50;0,75
21.01.2021;2,50;0,50;0,75
22.01.2021;2,50;0,50;0,75
25.01.2021;2,50;0,50;0,75
26.01.2021;2,50;0,50;0,75
27.01.2021;2,50;0,50;0,75
28.01.2021;2,50;0,50;0,75
29.01.2021;2,50;0,50;0,75
01.02.2021;2,50;0,50;0,75
02.02.2021;2,50;0,50;0,75
03.02.2021;2,50;0,50;0,75
04.02.2021;2,50;0,50;0,75
05.02.2021;2,50;0,50;0,75
08.02.2021;2,50;0,50;0,75
09.02.2021;2,50;0,50;0,75
10.02.2021;2,50;0,50;0,75
11.02.2021;2,50;0,50;0,75
12.02.2021;2,50;0,50;0,75
15.02.2021;2,50;0,50;0,75
16.02.2021;2,50;0,50;0,75
17.02.2021;2,50;0,50;0,75
18.02.2021;2,50;0,50;0,75
19.02.2021;2,50;0,50;0,75
22.02.2021;2,50;0,50;0,75
23.02.2021;2,50;0,50;0,75
24.02.2021;2,50;0,50;0,75
25.02.2021;2,50;0,50;0,75
26.02.2021;2,50;0,50;0,75
01.03.2021;2,50;0,50;0,75
02.03.2021;2,50;0,50;0,75
03.03.2021;2,50;0,50;0,75
04.03.2021;2,50;0,50;0,75
05.03.2021;2,50;0,50;0,75
08.03.2021;2,50;0,50;0,75
09.03.2021;2,50;0,50;0,75
10.03.2021;2,50;0,50;0,75
11.03.2021;2,50;0,50;0,75
12.03.2021;2,50;0,50;0,75
15.03.2021;2,50;0,50;0,75
16.03.2021;2,50;0,50;0,75
17.03.2021;2,50;0,50;0,75
18.03.2021;2,50;0,50;0,75
19.03.2021;2,50;0,50;0,75
22.03.2021;2,50;0,50;0,75
23.03.2021;2,50;0,50;0,75
24.03.2021;2,50;0,50;0,75
25.03.2021;2,50;0,50;0,75
26.03.2021;2,50;0,50;0,75
29.03.2021;2,50;0,50;0,75
30.03.2021;2,50;0,50;0,75
31.03.2021;2,50;0,50;0,75
06.04.2021;2,50;0,50;0,75
07.04.2021;2,50;0,50;0,75
08.04.2021;2,50;0,50;0,75
09.04.2021;2,50;0,50;0,75
12.04.2021;2,50;0,50;0,75
13.04.2021;2,50;0,50;0,75
14.04.2021;2,50;0,50;0,75
15.04.2021;2,50;0,50;0,75
16.04.2021;2,50;0,50;0,75
19.04.2021;2,50;0,50;0,75
20.04.2021;2,50;0,50;0,75
21.04.2021;2,50;0,50;0,75
23.04.2021;2,50;0,50;0,75
26.04.2021;2,50;0,50;0,75
27.04.2021;2,50;0,50;0,75
28.04.2021;2,50;0,50;0,75
29.04.2021;2,50;0,50;0,75
30.04.2021;2,50;0,50;0,75
03.05.2021;2,50;0,50;0,75
04.05.2021;2,50;0,50;0,75
05.05.2021;2,50;0,50;0,75
06.05.2021;2,50;0,50;0,75
07.05.2021;2,50;0,50;0,75
10.05.2021;2,50;0,50;0,75
11.05.2021;2,50;0,50;0,75
12.05.2021;2,50;0,50;0,75
14.05.2021;2,50;0,50;0,75
17.05.2021;2,50;0,50;0,75
18.05.2021;2,50;0,50;0,75
19.05.2021;2,75;0,75;1,00
20.05.2021;2,75;0,75;1,00
21.05.2021;2,75;0,75;1,00
25.05.2021;2,75;0,75;1,00
26.05.2021;2,75;0,75;1,00
27.05.2021;2,75;0,75;1,00
28.05.2021;2,75;0,75;1,00
31.05.2021;2,75;0,75;1,00
01.06.2021;2,75;0,75;1,00
02.06.2021;2,75;0,75;1,00
03.06.2021;2,75;0,75;1,00
04.06.2021;2,75;0,75;1,00
07.06.2021;2,75;0,75;1,00
08.06.2021;2,75;0,75;1,00
09.06.2021;2,75;0,75;1,00
10.06.2021;2,75;0,75;1,00
11.06.2021;2,75;0,75;1,00
